Corner Store,Chewing Gum,8
7-11,Tuna,1
7-11,Insta Pot,4
7-11,Frozen Peas,3
Target,Milk,12
Corner Store,Canned Soups,1
Target,Dish Soap,11
Nate's,Folding Table,7
Dan's,Apple,9
Nate's,Honey,2
Islands,Tea,12
Corner Store,Canned Soups,1
7-11,Tomato Sauce,11
7-11,Frozen Peas,3
Islands,Sandwich,6
7-11,Cheese,17
Dan's,Donuts,5
7-11,Batteries,2
7-11,Water,6
Corner Store,Canned Soups,1
Dan's,Bananas,10
Corner Store,Pen,5
7-11,Toothpaste,1
Nate's,Candy,12
7-11,Insta Pot,4
7-11,Hand Sanitizer,3
Target,Cereal,5
Corner Store,Legumes,3
Nate's,Vinegar,7
7-11,Hand Sanitizer,3
Dan's,Rice,2
Nate's,Soda,13
Corner Store,Legumes,3
Dan's,Maple Syrup,8
Target,Nuts,2
Corner Store,Chips,15
Dan's,Bread,12
Islands,Meatballs,13
Target,Sweater Box,16
7-11,Hair Brush,3
Nate's,Cheese,0
Dan's,Candy,5
Islands,Eggs,0
Nate's,Dog Food,12